key,time[ms]
ChaunceyGardin8,0
LeeBaezaArias1,0
amagr,0
Ckimita,0
paperboard_2020,0
PERFIL1966,0
Francisca_Rosas,0
MaribelViera4,0
Catalinalvare18,0
Antonel11594962,0
bassjoaco,0
VanessitaCSS,1
crystyanna7,1
tamara04881455,0
meftmeth,1
Juanvalps,0
Kruczynski_TXF,0
RDiguillin,0
diego_sepul,0
ElTiempoSerena,1
abarzua_valeria,0
JuanCar69109093,0
saimoncastillo,0
c_sepc,0
Rattlehead88,1
Blahsmb,0
IgnacioGuerraEr,0
RoxanaRoxi48,1
roanraval,0
_Gabriel_SL_,1
emeriquelme,0
Ileandrovf,0
edumellaseguel,0
InvestigaUDD,0
DondeLucas29,0
MartaMiret_,0
AyvdaBancoChiIe,1
vidalsnico,1
ChristEscolar,0
Amaiitamia,0
talita95573916,0
freddy_schmidt,0
ReportTed,0
franjswiftie,1
Ivaaaaaaaan1,1
DatosCientific,1
Hamilton__marg,0
dencifpar,1
AlexisBelfast,0
Guiller14070426,0
JuanPon22701939,0
perrorraro,0
CinPaz_,0
carlosvelasqm,0
cristiant_rs15,0
EvandroFM1,0
RominaCGamboaM1,0
AmuchChile,0
damarislapascua,0
Michell85614829,2
Lucho_x3_,0
_Tamita_,0
alvaroVIII,0
JoseFogaca1,1
jedicruces,0
EmilioEduardoM7,1
gritodeguerra12,0
XimenaEldredge,0
biobuses,0
Culturahoy3,1
mircscrc,0
xampilar,0
IconicCool,0
Benjamn30843524,0
etnodecadencia_,0
Andreyesb,0
dardalina,0
paramedic_here,0
MavilezP,0
lilianjosefaa,0
jacc580,0
pipin_alf,0
Alere5,0
Joacoescarcha,0
jmcatepillan,0
