n,time[ms]
0,3
1000,4040
2000,2940
3000,3714
4000,4957
5000,6305
6000,8214
7000,9382
8000,10362
9000,11707
10000,13132
11000,14427
12000,15866
13000,17350
14000,18612
15000,20027
16000,21448
17000,22878
18000,24307
19000,25806
20000,27115
21000,28642
22000,30034
23000,31425
24000,32896
25000,34266
