n,time[ms]
0,0
1000,1827
2000,534
3000,101
4000,135
5000,164
6000,196
7000,229
8000,263
9000,296
10000,328
11000,361
12000,394
13000,427
14000,469
15000,496
16000,527
17000,557
18000,591
19000,624
20000,656
21000,689
22000,724
23000,756
24000,789
25000,845
