n,time[ms]
0,0
1000,4309
2000,2887
3000,3511
4000,4773
5000,6013
6000,7362
7000,8653
8000,9923
9000,11319
10000,12661
11000,13789
12000,15189
13000,16486
14000,17866
15000,19214
16000,20418
17000,21592
18000,23079
19000,24602
20000,25851
21000,27285
22000,28666
23000,30120
24000,31439
25000,32622
