n,time[ms]
0,0
1000,3235
2000,769
3000,192
4000,249
5000,318
6000,383
7000,444
8000,506
9000,566
10000,659
11000,711
12000,821
13000,1045
14000,1124
15000,995
16000,1005
17000,1033
18000,1091
19000,1159
20000,1233
21000,1293
22000,1338
23000,1447
24000,1461
25000,1528
