n,time[ms]
0,0
1000,2721
2000,628
3000,55
4000,72
5000,90
6000,108
7000,130
8000,145
9000,163
10000,181
11000,199
12000,217
13000,236
14000,254
15000,272
16000,291
17000,322
18000,327
19000,344
20000,363
21000,382
22000,398
23000,417
24000,436
25000,453
